authorId,name,aliases,citationCount,papers,fieldsOfStudy
41173434,T. Weekes,"['T C Weekes', 'Trevor Weekes', 'T. C. Weekes', 'T. Weekes', 'Trevor C. Weekes', 'T. C. I. Weekes']",11719,,Physics
50593657,Luciano Gallegos,,74,,Psychology
2137966406,J. Iqbal,"['J Iqbal', 'J. Iqbal', 'Jawed Iqbal']",42,,None
67136446,M. Zasada,"['M. Zasada', 'Matt Zasada']",4,,None
2054106142,A. Awokoya,"['A S Awokoya', 'Ayodele Awokoya']",197,,Medicine
40067495,Rashawn Ray,,1390,,Sociology
2066146609,Tarun Krishna,,123,,Computer Science
3840131,S. Lipshultz,"['Steven Lipshultz', 'Steven E. Lipshultz', 'Steve E Lipshultz', 'S Lipshultz', 'Stephen E Lipshultz', 'Steven E Lipshultz', 'S.e. Lipshultz', 'S E Lipshultz', 'S. E. Lipshultz']",93290,,Psychology
148190842,T. Dewyspelaere,,0,,Economics
2109141879,Yifu Chen,['Yi-fu Chen'],719,,None
31473146,J. V. D. Vis,"['J. Van De Vis', 'Jorinde Van De Vis']",233,,Physics
2081569286,D. Alderson,"['D Alderson', 'D. Alderson', 'Derek Alderson']",337,,Political Science
7527447,E. Pagkalos,"['E Pagkalos', 'Emmanouil M Pagkalos', 'Emmanouil Pagkalos', 'Emmanouil M. Pagkalos']",1211,,Medicine
145688863,P. Majumdar,"['P Majumdar', 'P. Majumdar', 'Pratik Majumdar']",12441,,Physics
50533374,K. Sarmiento,"['Katie Sarmiento', 'Kathleen F. Sarmiento', 'K Sarmiento', 'Kathleen F Sarmiento', 'K.f. Sarmiento', 'Kathleen Sarmiento', 'K. Sarmiento']",377,,Psychology
1721812,C. Borgs,"['C Borgs', 'C. Borgs', 'Christian Borgs', 'Ch. Borgs']",9789,,Physics
3392184,Thorsten Ruprechter,,22,,None
102237181,G. Sigl,"['G Sigl', 'G. Sigl', 'Günter Sigl', 'Guenter Sigl']",15093,,Physics
1841612,Yanif Ahmad,,2389,,None
2099101833,Schöley,,0,,None
2434005,M. Benton,"['Mike J. Benton', 'Mike Benton', 'M. J. Benton', 'M J Benton', 'M J. Benton', 'M. J Benton', 'Mike J Benton', 'M.j. Benton', 'Michael Benton', 'Michael J. Benton', 'Michael. J. Benton', 'Michael J Benton']",24645,,Sociology
