Season,Episode,Episode Title,Name,tokens
1,1,Winter is Coming,waymar royce,"['expect', 'savage', 'one', 'lot', 'steal', 'goat', 'another', 'lot', 'know', 'ripping', 'piece']"
1,1,Winter is Coming,will,"['never', 'seen', 'wildlings', 'thing', 'like', 'never', 'seen', 'thing', 'like', 'ever', 'life']"
1,1,Winter is Coming,waymar royce,"['close', 'get']"
1,1,Winter is Coming,will,"['close', 'man', 'would']"
1,1,Winter is Coming,gared,"['head', 'back', 'wall']"
1,1,Winter is Coming,royce,"['dead', 'frighten']"
1,1,Winter is Coming,gared,"['order', 'track', 'wildlings', 'tracked', 'wo', 'nt', 'trouble', 'u']"
1,1,Winter is Coming,royce,"['nt', 'think', 'ask', 'u', 'died', 'get', 'back', 'horse']"
1,1,Winter is Coming,will,"['whatever', 'could', 'u', 'even', 'killed', 'child']"
1,1,Winter is Coming,royce,"['good', 'thing', 'child', 'want', 'run', 'away', 'south', 'run', 'away', 'course', 'behead', 'deserter', 'nt', 'catch', 'first', 'get', 'back', 'horse', 'wo', 'nt', 'say']"
1,1,Winter is Coming,royce,"['dead', 'men', 'seem', 'moved', 'camp']"
1,1,Winter is Coming,will,[]
1,1,Winter is Coming,gared,"['see', 'went']"
1,1,Winter is Coming,royce,[]
1,1,Winter is Coming,gared,[]
1,1,Winter is Coming,jon snow,"['go', 'father', 'watching']"
1,1,Winter is Coming,jon snow,['mother']
1,1,Winter is Coming,septa mordane,"['fine', 'work', 'always', 'well', 'done']"
1,1,Winter is Coming,sansa stark,['thank']
1,1,Winter is Coming,septa mordane,"['love', 'detail', 'managed', 'get', 'corner', 'quite', 'beautiful', 'stitching']"
1,1,Winter is Coming,eddard stark,"['one', 'marksman', 'ten', 'keep', 'practicing', 'bran', 'go']"
1,1,Winter is Coming,jon snow,"['nt', 'think', 'much', 'bran']"
1,1,Winter is Coming,robb stark,"['relax', 'bow', 'arm']"
1,1,Winter is Coming,jonrobb,"['quick', 'bran', 'faster']"
1,1,Winter is Coming,cassel,"['lord', 'stark', 'lady', 'guardsman', 'rode', 'hill', 'captured', 'deserter', 'night', 'watch']"
1,1,Winter is Coming,eddard stark,"['get', 'lad', 'saddle', 'horse']"
1,1,Winter is Coming,catelyn stark,[]
1,1,Winter is Coming,eddard stark,"['swore', 'oath', 'cat']"
1,1,Winter is Coming,cassel,"['law', 'law', 'lady']"
1,1,Winter is Coming,eddard stark,"['tell', 'bran', 'coming']"
1,1,Winter is Coming,catelyn stark,"['ned', 'ten', 'young', 'see', 'thing']"
1,1,Winter is Coming,eddard stark,"['wo', 'nt', 'boy', 'forever', 'winter', 'coming']"
1,1,Winter is Coming,robb stark,"['lad', 'go', 'run', 'back', 'get', 'rest']"
1,1,Winter is Coming,will,"['white', 'walker', 'saw', 'white', 'walker', 'white', 'walker', 'white', 'walker', 'saw']"
1,1,Winter is Coming,will,"['know', 'broke', 'oath', 'know', 'deserter', 'gone', 'back', 'wall', 'warned', 'saw', 'saw', 'saw', 'white', 'walker', 'people', 'need', 'know', 'get', 'word', 'family', 'tell', 'coward', 'tell', 'sorry']"
1,1,Winter is Coming,eddard stark,"['nod', 'yes', 'positioned', 'tree', 'limb', 'serf', 'block']"
1,1,Winter is Coming,will,"['forgive', 'lord']"
1,1,Winter is Coming,eddard stark,"['name', 'robert', 'house', 'baratheon', 'first', 'name']"
1,1,Winter is Coming,jon snow,"['nt', 'look', 'away']"
1,1,Winter is Coming,eddard stark,"['king', 'andals', 'first', 'men']"
1,1,Winter is Coming,jon snow,"['father', 'know']"
1,1,Winter is Coming,eddard stark,"['lord', 'seven', 'kingdom', 'protector', 'realm', 'eddard', 'house', 'stark', 'lord', 'winterfell', 'warden', 'north', 'sentence', 'die']"
1,1,Winter is Coming,jon snow,['well']
1,1,Winter is Coming,eddard stark,['understand']
1,1,Winter is Coming,bran stark,"['jon', 'said', 'deserter']"
