old_name,new_name
sam,sam tarly
daario,daario naharis
sandor,sandor clegane
beric,beric dondarrion
roose,roose bolton
loras,loras tyrell
barristan,barristan selmy
lancel,lancel lannister
walder,walder frey
waldery frey,walder frey
renly,renly baratheon
renly dwarf,gay dwarf
balon,balon greyjoy
balon dwarf,iron dwarf
robb dwarf,wolf dwarf
stannis dwarf,fire dwarf
joffrey dwarf,incest dwarf
janos,janos slynt
janos slunt,janos slynt
edmure,edmure tully
lyanna,lyanna mormont
lyanna,in some rare cases: lyanna stark
lysa,lysa arryn
alliser,alliser thorne
alliser thorn,alliser thorne
alliser throne,alliser thorne
petyr,betyr baelish
mace,mace tyrell
mountain,gregor clegane
maester luwin,luwin
royce,waymar royce (when the son is meant)
royce,yohn royce (when the father is meant)
jeor,jeor mormont
varys,lord varys
selyse,selyse baratheon
shireen,shireen baratheon
myrcella, myrcella baratheon
robin, robin arryn
ed, edd
maester, citadel maester
maester, maester pycelle
maester pycell, maester pycelle
benjen, benjen stark
a voice, guard
