,sceneStart,sceneEnd,location,subLocation,characters,episodeNumber,seasonNumber
0,0:00:40,0:01:45,The Wall,Castle Black,"['Gared', 'Waymar Royce', 'Will']",1,1
1,0:01:45,0:03:24,North of the Wall,The Haunted Forest,"['Gared', 'Waymar Royce', 'Will']",1,1
2,0:03:24,0:03:31,North of the Wall,The Haunted Forest,"['Will', 'Wight Wildling Girl']",1,1
3,0:03:31,0:03:38,North of the Wall,The Haunted Forest,['Will'],1,1
4,0:03:38,0:03:44,North of the Wall,The Haunted Forest,[],1,1
5,0:03:44,0:05:36,North of the Wall,The Haunted Forest,"['Gared', 'Waymar Royce', 'Will']",1,1
6,0:05:36,0:05:41,North of the Wall,The Haunted Forest,['Will'],1,1
7,0:05:41,0:05:48,North of the Wall,The Haunted Forest,"['Gared', 'Waymar Royce']",1,1
8,0:05:48,0:05:58,North of the Wall,The Haunted Forest,['Will'],1,1
9,0:05:58,0:06:21,North of the Wall,The Haunted Forest,"['Gared', 'Waymar Royce', 'White Walker']",1,1
10,0:06:21,0:06:39,North of the Wall,The Haunted Forest,['Will'],1,1
11,0:06:39,0:06:49,North of the Wall,The Haunted Forest,"['Will', 'Wight Wildling Girl']",1,1
12,0:06:49,0:07:45,North of the Wall,The Haunted Forest,"['Will', 'Gared', 'White Walker']",1,1
13,0:09:27,0:12:38,The North,Winterfell,"['Will', 'Jon Snow', 'Bran Stark', 'Robb Stark', 'Eddard Stark', 'Catelyn Stark', 'Rickon Stark', 'Sansa Stark', 'Arya Stark', 'Theon Greyjoy', 'Rodrik Cassel', 'Septa Mordane']",1,1
14,0:12:38,0:15:41,The North,Outside Winterfell,"['Will', 'Eddard Stark', 'Robb Stark', 'Theon Greyjoy', 'Bran Stark', 'Rodrik Cassel', 'Jory Cassel', 'Jon Snow']",1,1
15,0:15:41,0:18:44,The North,Outside Winterfell,"['Jon Snow', 'Eddard Stark', 'Theon Greyjoy', 'Bran Stark', 'Robb Stark', 'Rodrik Cassel', 'Jory Cassel', 'Grey Wind', 'Lady', 'Nymeria', 'Summer', 'Shaggydog', 'Ghost']",1,1
16,0:18:44,0:20:45,The Crownlands,King's Landing,"['Jon Arryn', 'Cersei Lannister', 'Jaime Lannister']",1,1
17,0:20:45,0:22:43,The North,Winterfell,"['Catelyn Stark', 'Eddard Stark']",1,1
18,0:22:43,0:23:09,The North,Winterfell,"['Catelyn Stark', 'Maester Luwin']",1,1
19,0:23:09,0:23:39,The North,Winterfell,"['Robb Stark', 'Theon Greyjoy', 'Jon Snow']",1,1
20,0:23:39,0:29:16,The North,Winterfell,"['Bran Stark', 'Catelyn Stark', 'Maester Luwin', 'Summer', 'Arya Stark', 'Joffrey Baratheon', 'Sandor Clegane', 'Rickon Stark', 'Eddard Stark', 'Sansa Stark', 'Theon Greyjoy', 'Jon Snow', 'Jory Cassel', 'Hodor', 'Rodrik Cassel', 'Robert Baratheon', 'Cersei Lannister', 'Jaime Lannister', 'Myrcella Baratheon', 'Tommen Baratheon']",1,1
21,0:29:16,0:30:47,The North,Winterfell,"['Robert Baratheon', 'Eddard Stark']",1,1
22,0:30:47,0:32:57,The North,Winterfell,"['Jaime Lannister', 'Tyrion Lannister', 'Ros']",1,1
23,0:32:57,0:33:45,The North,Winterfell,"['Robert Baratheon', 'Eddard Stark']",1,1
24,0:33:45,0:36:17,Pentos,,"['Daenerys Targaryen', 'Viserys Targaryen']",1,1
25,0:36:17,0:38:23,Pentos,,"['Daenerys Targaryen', 'Viserys Targaryen', 'Illyrio Mopatis', 'Khal Drogo', 'Qotho']",1,1
26,0:38:23,0:40:05,Pentos,,"['Viserys Targaryen', 'Illyrio Mopatis', 'Daenerys Targaryen']",1,1
27,0:40:05,0:40:56,The North,Winterfell,"['Catelyn Stark', 'Sansa Stark']",1,1
28,0:40:56,0:41:19,The North,Winterfell,"['Robert Baratheon', 'Catelyn Stark', 'Cersei Lannister', 'Rodrik Cassel']",1,1
29,0:41:19,0:44:14,The North,Winterfell,"['Jon Snow', 'Benjen Stark', 'Tyrion Lannister']",1,1
30,0:44:14,0:47:28,The North,Winterfell,"['Rodrik Cassel', 'Benjen Stark', 'Eddard Stark', 'Robb Stark', 'Robert Baratheon', 'Catelyn Stark', 'Cersei Lannister', 'Sansa Stark', 'Joffrey Baratheon', 'Jaime Lannister', 'Arya Stark', 'Theon Greyjoy']",1,1
31,0:47:28,0:50:29,The North,Winterfell,"['Eddard Stark', 'Catelyn Stark', 'Maester Luwin']",1,1
32,0:50:29,0:56:05,Pentos,,"['Khal Drogo', 'Daenerys Targaryen', 'Viserys Targaryen', 'Illyrio Mopatis', 'Qotho', 'Jorah Mormont', 'Drogon', 'Rhaegal', 'Viserion']",1,1
33,0:56:05,0:57:48,Pentos,,"['Khal Drogo', 'Daenerys Targaryen']",1,1
34,0:57:48,0:59:06,The North,Winterfell,"['Tyrion Lannister', 'Sandor Clegane', 'Theon Greyjoy', 'Eddard Stark', 'Benjen Stark', 'Robb Stark', 'Robert Baratheon', 'Bran Stark', 'Summer']",1,1
35,0:59:06,1:00:57,The North,Winterfell,"['Bran Stark', 'Summer', 'Jaime Lannister', 'Cersei Lannister']",1,1
36,0:02:22,0:05:28,The Dothraki Sea,,"['Jorah Mormont', 'Daenerys Targaryen', 'Khal Drogo', 'Viserys Targaryen', 'Doreah', 'Irri', 'Jhiqui']",2,1
37,0:05:28,0:07:05,The North,Winterfell,"['Tyrion Lannister', 'Joffrey Baratheon', 'Sandor Clegane']",2,1
38,0:07:05,0:09:18,The North,Winterfell,"['Tyrion Lannister', 'Jaime Lannister', 'Cersei Lannister', 'Tommen Baratheon', 'Myrcella Baratheon']",2,1
39,0:09:18,0:11:44,The North,Winterfell,"['Catelyn Stark', 'Bran Stark', 'Cersei Lannister']",2,1
40,0:11:44,0:13:26,The North,Winterfell,"['Jon Snow', 'Jaime Lannister']",2,1
41,0:13:26,0:15:43,The North,Winterfell,"['Arya Stark', 'Nymeria', 'Jon Snow']",2,1
42,0:15:43,0:19:22,The North,Winterfell,"['Catelyn Stark', 'Jon Snow', 'Bran Stark', 'Eddard Stark']",2,1
43,0:19:22,0:20:07,The North,Winterfell,"['Jon Snow', 'Robb Stark']",2,1
