,Release Date,Season,Episode,Episode Title,Name,Sentence,sentiment_score
0,2011-04-17,Season 1,Episode 1,Winter is Coming,waymar royce,"What do you expect? They're savages. One lot steals a goat from another lot and before you know it, they're ripping each other to pieces.",-0.993705153465271
1,2011-04-17,Season 1,Episode 1,Winter is Coming,will,"I've never seen wildlings do a thing like this. I've never seen a thing like this, not ever in my life.",0.990075945854187
2,2011-04-17,Season 1,Episode 1,Winter is Coming,waymar royce,How close did you get?,-0.49011602997779846
3,2011-04-17,Season 1,Episode 1,Winter is Coming,will,Close as any man would.,0.9919400215148926
4,2011-04-17,Season 1,Episode 1,Winter is Coming,gared,We should head back to the wall.,-0.9954411387443542
5,2011-04-17,Season 1,Episode 1,Winter is Coming,yohn royce,Do the dead frighten you?,-0.9957034587860107
6,2011-04-17,Season 1,Episode 1,Winter is Coming,gared,Our orders were to track the wildlings. We tracked them. They won't trouble us no more.,0.9985362887382507
7,2011-04-17,Season 1,Episode 1,Winter is Coming,yohn royce,You don't think he'll ask us how they died? Get back on your horse.,-0.9965888857841492
8,2011-04-17,Season 1,Episode 1,Winter is Coming,will,Whatever did it to them could do it to us. They even killed the children.,-0.9959318041801453
9,2011-04-17,Season 1,Episode 1,Winter is Coming,yohn royce,"It's a good thing we're not children. You want to run away south, run away. Of course, they will behead you as a deserter … If I don't catch you first. Get back on your horse. I won't say it again.",-0.9767823219299316
10,2011-04-17,Season 1,Episode 1,Winter is Coming,yohn royce,Your dead men seem to have moved camp.,-0.9080156087875366
11,2011-04-17,Season 1,Episode 1,Winter is Coming,will,They were here.,0.9928158521652222
12,2011-04-17,Season 1,Episode 1,Winter is Coming,gared,See where they went.,0.997984766960144
13,2011-04-17,Season 1,Episode 1,Winter is Coming,yohn royce,What is it?,-0.9912976026535034
14,2011-04-17,Season 1,Episode 1,Winter is Coming,gared,It's …,0.9954703450202942
15,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Go on. Father's watching.,0.9960530996322632
16,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,And your mother.,0.9867293834686279
17,2011-04-17,Season 1,Episode 1,Winter is Coming,septa mordane,"Fine work, as always. Well done.",0.9997100830078125
18,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Thank you.,0.9996915459632874
19,2011-04-17,Season 1,Episode 1,Winter is Coming,septa mordane,I love the detail that you've managed to get in this corners. … Quite beautiful … the stitching …,0.9997391700744629
20,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"And which one of you was a marksman at ten? Keep practicing, Bran. Go on.",-0.3354509174823761
21,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,"Don't think too much, Bran.",-0.9991273283958435
22,2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,Relax your bow arm.,0.6058369874954224
23,2011-04-17,Season 1,Episode 1,Winter is Coming,jonrobb,"Quick, Bran, faster!",0.9643459916114807
24,2011-04-17,Season 1,Episode 1,Winter is Coming,cassel,Lord Stark. My lady. A guardsman just rode in from the hills. They've captured a deserter from the Night's Watch.,-0.8853262066841125
25,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Get the lads to saddle their horses.,-0.02262476086616516
26,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Do you have to?,-0.9162638783454895
27,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"He swore an oath, Cat.",0.2556111812591553
28,2011-04-17,Season 1,Episode 1,Winter is Coming,cassel,"The law is law, my lady.",0.986366331577301
29,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"Tell Bran he's coming, too.",0.9931219816207886
30,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Ned. Ten is too young to see such things.,-0.9876609444618225
31,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,He won't be a boy forever. And winter is coming.,0.9960241317749023
32,2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,"Lad, go run back and get the rest.",-0.9004305601119995
33,2011-04-17,Season 1,Episode 1,Winter is Coming,will,"White Walkers. I saw the White Walkers. White Walkers. The White Walkers, I saw them.",0.6391015648841858
34,2011-04-17,Season 1,Episode 1,Winter is Coming,will,"I know I broke my oath. And I know I'm a deserter. I should have gone back to the Wall and warned them. But I saw what I saw. I saw the White Walkers. People need to know. If you can get word to my family, tell them I'm no coward. Tell them I'm sorry.",0.8852857351303101
35,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"nods yes, and WILL is positioned on the tree limb that serves as a block.",0.9575453400611877
36,2011-04-17,Season 1,Episode 1,Winter is Coming,will,"Forgive me, lord.",-0.7729623317718506
37,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"In the name of Robert of the House Baratheon, first of his name …",0.9410591721534729
38,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Don't look away.,0.9989005923271179
39,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,King of the Andals and the First Men …,0.9967798590660095
40,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Father will know if you do.,0.9973135590553284
41,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die.",-0.9482191801071167
42,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,You did well.,0.9996819496154785
43,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,You understand why I did it?,-0.9876347780227661
